Make,Model,Vehicle class,Production start year,Production end year,Production start month,Production end month,Series / facelift,Generation,Full Model Code,Chassis Code,Trim,Emissions Prefix,Trim Suffix Code,Engine code,Engine type,Body type,Doors,Length mm,Width mm,Height mm,Wheelbase mm,Ground clearance mm,Engine displacement L,Engine displacement cc,Engine configuration,Fuel Category,Fuel type,Fuel Grade,Transmission,Drivetrain,Horsepower,Torque,Torque unit,Fuel tank capacity,Fuel tank unit,fuel economy (km/L),Estimated (Km) per re-fuel,Seating capacity,Curb weight kg,Gross vehicle weight kg,Max payload kg,Max towing kg,Front brake type,Rear brake type,Brake size mm,Tire size,Front tire size,Rear tire size,Bolt pattern,Wheel offset mm,Engine oil capacity L,Coolant capacity L,Final drive,Cooling type,Starter type,Seat height mm,Front suspension,Rear suspension,Gear count,Dry weight kg,Wheel size front,Wheel size rear,ID,Created at,Updated at
Toyota,Succeed,car,2002,2014,,,Van 1.5 2WD,1st Gen,,NCP51V,,,,1NZ-FE,,Van,5,,,,,,1.5,1496,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Succeed,car,2014,,,,Van 1.5 2WD,2nd Gen,,NCP160V,,,,1NZ-FE,,Van,5,,,,,,1.5,1496,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Succeed,car,2002,2014,,,Wagon 1.5,1st Gen,,NCP58G,,,,1NZ-FE,,Station Wagon,5,,,,,,1.5,1496,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Passo,car,2004,2010,,,1st Gen,1st Gen,,KGC10,,,,1KR-FE,,Hatchback,5,,,,,,1,996,Inline-3,Gas,Petrol,87,4AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Passo,car,2010,2016,,,2nd Gen,2nd Gen,,KGC30,,,,1KR-FE,,Hatchback,5,,,,,,1,996,Inline-3,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Passo,car,2016,,,,3rd Gen,3rd Gen,,M700A,,,,1KR-FE,,Hatchback,5,,,,,,1,996,Inline-3,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Ractis,car,2005,2010,,,1st Gen,1st Gen,,NCP100,,,,1NZ-FE,,Hatchback,5,,,,,,1.5,1496,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Ractis,car,2010,2016,,,2nd Gen,2nd Gen,,NSP120,,,,1NR-FE,,Hatchback,5,,,,,,1.3,1329,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,bB,car,2005,2016,,,2nd Gen,2nd Gen,,QNC20,,,,K3-VE,,Hatchback,5,,,,,,1.3,1298,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Porte,car,2004,2012,,,1st Gen,1st Gen,,NNP11,,,,1NZ-FE,,Hatchback,5,,,,,,1.5,1496,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Porte,car,2012,,,,2nd Gen,2nd Gen,,NSP141,,,,1NR-FE,,Hatchback,5,,,,,,1.3,1329,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Spade,car,2012,,,,1st Gen,1st Gen,,NSP141,,,,1NR-FE,,Hatchback,5,,,,,,1.3,1329,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Sienta,car,2003,2015,,,1st Gen,1st Gen,,NCP81G,,,,1NZ-FE,,Minivan,5,,,,,,1.5,1496,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Sienta,car,2015,,,,2nd Gen Gas,2nd Gen,,NSP170G,,,,2NR-FKE,,Minivan,5,,,,,,1.5,1496,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Sienta,car,2015,,,,2nd Gen Hybrid,2nd Gen,,NHP170G,,,,1NZ-FXE,,Minivan,5,,,,,,1.5,1496,Inline-4,Hybrid,Hybrid(petrol),87,eCVT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Wish,car,2003,2009,,,1st Gen,1st Gen,,ZNE10G,,,,1ZZ-FE,,Minivan,5,,,,,,1.8,1794,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Wish,car,2009,2017,,,2nd Gen,2nd Gen,,ZGE20W,,,,2ZR-FAE,,Minivan,5,,,,,,1.8,1797,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Ipsum,car,2001,2009,,,2nd Gen,2nd Gen,,ACM21W,,,,2AZ-FE,,Minivan,5,,,,,,2.4,2362,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Isis,car,2004,2017,,,1st Gen,1st Gen,,ANM10W,,,,1AZ-FSE,,Minivan,5,,,,,,2,1998,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Esquire,car,2014,2021,,,1st Gen Gas,1st Gen,,ZRR80G,,,,3ZR-FAE,,Minivan,5,,,,,,2,1986,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Esquire,car,2014,2021,,,1st Gen Hybrid,1st Gen,,ZWR80G,,,,2ZR-FXE,,Minivan,5,,,,,,1.8,1797,Inline-4,Hybrid,Hybrid(petrol),87,eCVT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Alphard,car,2002,2008,,,1st Gen,1st Gen,,ANH10W,,,,2AZ-FE,,Minivan,5,,,,,,2.4,2362,Inline-4,Gas,Petrol,87,4AT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Alphard,car,2008,2015,,,2nd Gen,2nd Gen,,ANH20W,,,,2AZ-FE,,Minivan,5,,,,,,2.4,2362,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Alphard,car,2015,,,,3rd Gen Gas,3rd Gen,,AGH30W,,,,2AR-FE,,Minivan,5,,,,,,2.5,2494,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Vellfire,car,2008,2015,,,1st Gen,1st Gen,,ANH20W,,,,2AZ-FE,,Minivan,5,,,,,,2.4,2362,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Vellfire,car,2015,,,,2nd Gen Gas,2nd Gen,,AGH30W,,,,2AR-FE,,Minivan,5,,,,,,2.5,2494,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyota,Estima,car,2006,2019,,,3rd Gen Gas,3rd Gen,,ACR50W,,,,2AZ-FE,,Minivan,5,,,,,,2.4,2362,Inline-4,Gas,Petrol,87,CVT,2WD,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
