id,make,model,vehicle_class,production_start_year,production_end_year,chassis_code,engine_code,source,import_batch_id,created_at,updated_at
6b63a80e-ae33-4ad7-a326-0dd2d0e40cf3,Honda,Accord,car,2023,,CY2,LFB,manual,,2026-05-01T13:36:41.505735+00:00,2026-05-01T13:36:41.384+00:00
f38b025a-7255-4b7f-9de8-ff2463264497,Honda,Accord,car,2017,2022,CV2,K20C4,manual,,2026-05-01T13:36:42.897518+00:00,2026-05-01T13:36:42.834+00:00
673d6e06-bf4a-4741-956f-db6a790d2339,Honda,Accord,car,2017,2022,CV1,L15BE,manual,,2026-05-01T13:36:42.241356+00:00,2026-05-01T13:36:42.15+00:00
e69e90fe-339d-4aaf-bfb9-0c024c03fecc,Honda,Accord,car,2016,2017,CR7,LFA,manual,,2026-05-01T13:36:43.722356+00:00,2026-05-01T13:36:43.646+00:00
0b6a7d96-4cd3-4391-b45d-47e9055d89ef,Honda,Accord,car,2013,2015,CR2,K24W,manual,,2026-05-01T13:36:44.467824+00:00,2026-05-01T13:36:44.4+00:00
cd96c4ee-f617-40a9-b6d6-380f92a6efb5,Honda,Accord,car,2013,2016,CR6,LFA,manual,,2026-05-01T13:36:45.613081+00:00,2026-05-01T13:36:45.141+00:00
e3e68df8-495a-4bf3-97e1-91d0e1873e34,Honda,Accord,car,2011,2013,CU2,K24A,manual,,2026-05-01T13:36:46.731118+00:00,2026-05-01T13:36:46.626+00:00
87b6c53a-295e-4adc-aca5-f296806a51d6,Honda,Accord,car,2008,2011,CU2,K24A,manual,,2026-05-01T13:36:47.442377+00:00,2026-05-01T13:36:47.38+00:00
63ec4b00-6412-4c11-ba43-1206bbcfe573,Honda,Accord,car,2002,2008,CL7,K20A,manual,,2026-05-01T13:36:48.118641+00:00,2026-05-01T13:36:48.052+00:00
fcc565d5-b722-46d7-82ce-255949bdfbb7,Honda,Civic,car,2022,,FL4,LFC,manual,,2026-05-01T13:36:48.828318+00:00,2026-05-01T13:36:48.756+00:00
e3839aed-1330-4aa3-b59d-73ed237988dc,Honda,Civic,car,2021,,FE1,L15BE,manual,,2026-05-01T13:36:49.526327+00:00,2026-05-01T13:36:49.457+00:00
5ff4ef03-5407-40d5-8e64-1495c930be4b,Honda,Civic,car,2017,2021,FK8,K20C1,manual,,2026-05-01T13:36:50.205343+00:00,2026-05-01T13:36:50.129+00:00
8658c3c0-3b56-4b62-8ca9-54908d9a99b6,Honda,Civic,car,2017,2021,FK7,L15C,manual,,2026-05-01T13:36:50.88485+00:00,2026-05-01T13:36:50.83+00:00
cbe243f2-fea8-4d66-bda7-db4c31a59e20,Honda,Civic,car,2016,2021,FC1,L15B7,manual,,2026-05-01T13:36:51.638827+00:00,2026-05-01T13:36:51.575+00:00
f395d268-54e0-4b1a-ac06-860e2172fd90,Honda,Civic,car,2014,2015,FB2,R18Z,manual,,2026-05-01T13:36:52.504089+00:00,2026-05-01T13:36:52.423+00:00
0bd86665-940b-4a54-a684-1a21bb282cc9,Honda,Civic,car,2012,2013,FB2,R18Z,manual,,2026-05-01T13:36:54.64811+00:00,2026-05-01T13:36:54.352+00:00
d9d9919f-d507-42f3-94c6-293408a426fa,Honda,Civic,car,2008,2011,FD1,R18A,manual,,2026-05-01T13:36:55.367849+00:00,2026-05-01T13:36:55.309+00:00
d3962a8d-abf7-449c-b127-6d95ffb702c7,Honda,Civic,car,2005,2010,FD3,LDA,manual,,2026-05-01T13:36:56.06624+00:00,2026-05-01T13:36:56.005+00:00
c3a654af-48ae-4120-b7d7-fb002067dc2c,Honda,Civic,car,2005,2008,FD1,R18A,manual,,2026-05-01T13:36:56.768812+00:00,2026-05-01T13:36:56.697+00:00
